[2026-07-21 13:27:17] PROJECT_DELETE | 用户: admin | ID=86: 删除项目成功; ID=86; （报表和同步正在后台执行）
[2026-07-21 13:27:21] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:27:51] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:28:07] PROJECT_ADD | 用户: admin | 新增成功(ID=87); （报表和同步正在后台执行）
[2026-07-21 13:28:12] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:28:52] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:29:02] PROJECT_ADD | 用户: admin | 新增成功(ID=88); （报表和同步正在后台执行）
[2026-07-21 13:29:06] PROJECT_ADD | 用户: admin | 新增成功(ID=89); （报表和同步正在后台执行）
[2026-07-21 13:29:07] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:29:15] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:29:28] PROJECT_DELETE | 用户: admin | ID=89: 删除项目成功; ID=89; （报表和同步正在后台执行）
[2026-07-21 13:29:34] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:29:43] PROJECT_ARCHIVE | 用户: admin | ID=87: 归档项目成功; ID=87; （报表和同步正在后台执行）
[2026-07-21 13:29:46] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:30:22] PROJECT_ARCHIVE | 用户: admin | ID=87: 归档项目成功; ID=87; （报表和同步正在后台执行）
[2026-07-21 13:55:35] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 1800 秒
[2026-07-21 13:56:11] LOGIN | 用户: admin | 登录成功
[2026-07-21 13:57:08] PROJECT_DELETE | 用户: admin | ID=86: 删除项目成功; ID=86; （报表和同步正在后台执行）
[2026-07-21 13:57:12] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:57:35] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:57:51] PROJECT_ADD | 用户: admin | 新增成功(ID=87); （报表和同步正在后台执行）
[2026-07-21 13:57:55] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:58:27] PROJECT_ADD | 用户: admin | 新增成功(ID=88); （报表和同步正在后台执行）
[2026-07-21 13:58:31] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:58:57] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:59:25] PROJECT_ADD | 用户: admin | 新增成功(ID=89); （报表和同步正在后台执行）
[2026-07-21 13:59:43] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 13:59:59] PROJECT_DELETE | 用户: admin | ID=88: 删除项目成功; ID=88; （报表和同步正在后台执行）
[2026-07-21 14:00:05] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 14:00:12] PROJECT_ARCHIVE | 用户: admin | ID=89: 归档项目成功; ID=89; （报表和同步正在后台执行）
[2026-07-21 14:00:34] PROJECT_UNARCHIVE | 用户: admin | ID=89: 取消归档项目成功; ID=89; （报表和同步正在后台执行）
[2026-07-21 14:00:37] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 14:00:58] PROJECT_ARCHIVE | 用户: admin | ID=89: 归档项目成功; ID=89; （报表和同步正在后台执行）
[2026-07-21 14:01:02] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 14:01:33] LOGIN | 用户: xjq | 登录成功
[2026-07-21 14:01:56] PROJECT_ARCHIVE | 用户: xjq | ID=89: 归档项目成功; ID=89; （报表和同步正在后台执行）
[2026-07-21 14:02:00] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-21 14:03:07] PROJECT_ARCHIVE | 用户: xjq | ID=89: 归档项目成功; ID=89; （报表和同步正在后台执行）
[2026-07-21 14:03:10] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-21 14:17:48] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 1800 秒
[2026-07-21 14:19:33] LOGIN | 用户: xjq | 登录成功
[2026-07-21 14:19:49] PROJECT_DELETE | 用户: xjq | ID=89: 删除项目成功; ID=89; （报表和同步正在后台执行）
[2026-07-21 14:19:52] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-21 14:20:01] PROJECT_ARCHIVE | 用户: xjq | ID=87: 归档项目成功; ID=87; （报表和同步正在后台执行）
[2026-07-21 14:20:06] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-21 14:21:16] PROJECT_ADD | 用户: xjq | 新增成功(ID=90); （报表和同步正在后台执行）
[2026-07-21 14:22:36] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 1800 秒
[2026-07-21 14:22:57] LOGIN | 用户: admin | 登录成功
[2026-07-21 14:25:46] LOGIN | 用户: xjq | 登录成功
[2026-07-21 14:26:15] DATA_SYNC | 用户: admin | 数据同步更新
[2026-07-21 14:30:01] USER_CREATE | 用户: admin | 创建用户: yjl, 角色: editor
[2026-07-23 02:14:31] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 1800 秒
[2026-07-23 02:14:48] LOGIN | 用户: xjq | 登录成功
[2026-07-23 02:15:06] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:15:09] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:15:09] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:15:16] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:15:16] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:15:26] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:15:39] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:15:40] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:15:41] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:15:49] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:15:49] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:15:50] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:15:56] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:16:09] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:16:13] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:16:13] PROJECT_ARCHIVE | 用户: xjq | ID=94: 归档项目成功; ID=94; （报表和同步正在后台执行）
[2026-07-23 02:16:21] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-23 02:16:26] PROJECT_ARCHIVE | 用户: xjq | ID=94: 项目ID=94 不存在
[2026-07-23 02:16:32] PROJECT_ARCHIVE | 用户: xjq | ID=95: 归档项目成功; ID=95; （报表和同步正在后台执行）
[2026-07-23 02:16:44] PROJECT_ARCHIVE | 用户: xjq | ID=96: 项目ID=96 不存在
[2026-07-23 02:16:46] PROJECT_ARCHIVE | 用户: xjq | ID=97: 项目ID=97 不存在
[2026-07-23 02:16:46] PROJECT_ARCHIVE | 用户: xjq | ID=95: 归档项目成功; ID=95; （报表和同步正在后台执行）
[2026-07-23 02:16:54] PROJECT_ARCHIVE | 用户: xjq | ID=98: 归档项目成功; ID=98; （报表和同步正在后台执行）
[2026-07-23 02:17:03] PROJECT_ARCHIVE | 用户: xjq | ID=96: 归档项目成功; ID=96; （报表和同步正在后台执行）
[2026-07-23 02:17:12] PROJECT_ARCHIVE | 用户: xjq | ID=99: 归档项目成功; ID=99; （报表和同步正在后台执行）
[2026-07-23 02:17:21] PROJECT_ARCHIVE | 用户: xjq | ID=97: 归档项目成功; ID=97; （报表和同步正在后台执行）
[2026-07-23 02:17:29] PROJECT_ARCHIVE | 用户: xjq | ID=98: 项目ID=98 不存在
[2026-07-23 02:17:30] PROJECT_ARCHIVE | 用户: xjq | ID=100: 归档项目成功; ID=100; （报表和同步正在后台执行）
[2026-07-23 02:17:39] PROJECT_ARCHIVE | 用户: xjq | ID=101: 项目ID=101 不存在
[2026-07-23 02:17:39] PROJECT_ARCHIVE | 用户: xjq | ID=99: 归档项目成功; ID=99; （报表和同步正在后台执行）
[2026-07-23 02:17:48] PROJECT_ARCHIVE | 用户: xjq | ID=100: 项目ID=100 不存在
[2026-07-23 02:17:48] PROJECT_ARCHIVE | 用户: xjq | ID=102: 归档项目成功; ID=102; （报表和同步正在后台执行）
[2026-07-23 02:17:56] PROJECT_ARCHIVE | 用户: xjq | ID=101: 归档项目成功; ID=101; （报表和同步正在后台执行）
